"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"02431099999","2010-01-01","59.8666666","15.25","289.0","KLOTEN, SW","  14.7","24","9999.9"," 0","1008.6","24","973.0","24","  4.5","24","  5.0","24","  5.8","999.9","  16.2","*","  12.0"," "," 0.06","G","999.9","001000"
"02431099999","2010-01-02","59.8666666","15.25","289.0","KLOTEN, SW","   9.1","24","9999.9"," 0","1020.4","24","984.2","24"," 14.8","24","  4.4","24","  5.8","999.9","  16.3"," ","  -2.6","*"," 0.07","G","999.9","001000"
"02431099999","2010-01-03","59.8666666","15.25","289.0","KLOTEN, SW","   9.6","24","9999.9"," 0","1013.8","24","977.9","24"," 30.8","24","  4.4","24","  5.8","999.9","  19.9","*","  -5.3"," "," 0.01","G","999.9","000000"
"02431099999","2010-01-04","59.8666666","15.25","289.0","KLOTEN, SW","  12.3","24","9999.9"," 0","1004.7","24","969.2","24"," 30.9","24","  4.0","24","  5.8","999.9","  20.7"," ","   4.5","*"," 0.00","G","999.9","000000"
"02431099999","2010-01-05","59.8666666","15.25","289.0","KLOTEN, SW","  -3.1","24","9999.9"," 0","1011.1","24","974.7","24"," 31.1","24","  3.2","24","  5.8","999.9","  12.7"," ","  -9.6","*"," 0.00","G","999.9","000000"
"02431099999","2010-01-06","59.8666666","15.25","289.0","KLOTEN, SW","  -5.3","24","9999.9"," 0","1015.0","24","978.4","24"," 28.7","24","  2.5","24","  3.9","999.9","   0.1","*"," -12.5"," "," 0.00","G","999.9","001000"
"02431099999","2010-01-07","59.8666666","15.25","289.0","KLOTEN, SW","   4.4","24","9999.9"," 0","1017.7","24","981.4","24"," 11.8","24","  4.9","24","  5.8","999.9","   9.1"," ","  -2.7"," "," 0.02","G","999.9","001000"
"02431099999","2010-01-08","59.8666666","15.25","289.0","KLOTEN, SW","  -1.4","24","9999.9"," 0","1029.1","24","992.2","24"," 31.1","24","  1.9","24","  5.8","999.9","   4.3"," ","  -6.2"," "," 0.01","G","999.9","001000"
"02431099999","2010-01-09","59.8666666","15.25","289.0","KLOTEN, SW","   6.2","24","9999.9"," 0","1038.4","24","001.4","24"," 31.1","24","  1.6","24","  3.9","999.9","  13.3"," ","  -6.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-01-10","59.8666666","15.25","289.0","KLOTEN, SW","   8.9","24","9999.9"," 0","1037.8","24","000.9","24"," 31.1","24","  2.0","24","  3.9","999.9","  15.4"," ","   3.4"," "," 0.00","G","999.9","000000"
"02431099999","2010-01-11","59.8666666","15.25","289.0","KLOTEN, SW","  15.9","24","9999.9"," 0","1032.3","24","995.9","24"," 31.1","24","  2.6","24","  5.8","999.9","  23.9"," ","   5.7"," "," 0.00","G","999.9","000000"
"02431099999","2010-01-12","59.8666666","15.25","289.0","KLOTEN, SW","  17.1","24","9999.9"," 0","1027.8","24","991.7","24"," 29.5","24","  0.6","24","  1.9","999.9","  23.5"," ","  13.3","*"," 0.00","G","999.9","000000"
"02431099999","2010-01-13","59.8666666","15.25","289.0","KLOTEN, SW","  10.7","24","9999.9"," 0","1024.5","24","988.2","24"," 17.3","24","  0.0","24","999.9","999.9","  20.5"," ","   4.1","*"," 0.00","G","999.9","100000"
"02431099999","2010-01-14","59.8666666","15.25","289.0","KLOTEN, SW","  14.4","24","9999.9"," 0","1024.4","24","988.3","24","  2.3","21","  0.3","24","  1.9","999.9","  23.0","*","   2.5"," "," 0.00","G","999.9","101000"
"02431099999","2010-01-15","59.8666666","15.25","289.0","KLOTEN, SW","  23.4","24","  22.5","24","1030.5","24","994.5","24"," 18.5","24","  0.1","24","  1.9","999.9","  24.4"," ","  21.4"," "," 0.00","F","999.9","000000"
"02431099999","2010-01-16","59.8666666","15.25","289.0","KLOTEN, SW","  24.0","24","  23.1","24","1033.3","24","997.2","24"," 11.6","24","  1.6","24","  3.9","999.9","  25.0"," ","  21.9"," "," 0.00","G","999.9","001000"
"02431099999","2010-01-17","59.8666666","15.25","289.0","KLOTEN, SW","  23.5","24","  21.8","24","1027.5","24","991.6","24"," 11.5","23","  6.1","24","  9.7","999.9","  25.3"," ","  21.9"," "," 0.02","G","999.9","001000"
"02431099999","2010-01-18","59.8666666","15.25","289.0","KLOTEN, SW","  24.2","24","  23.4","24","1026.2","24","990.3","24","  3.7","23","  5.2","24","  7.8","999.9","  25.2"," ","  21.9"," "," 0.03","G","999.9","001000"
"02431099999","2010-01-19","59.8666666","15.25","289.0","KLOTEN, SW","  24.2","24","  23.6","24","1030.4","24","994.4","24","  2.6","24","  2.8","24","  5.8","999.9","  25.0"," ","  23.4"," "," 0.03","G","999.9","101000"
"02431099999","2010-01-20","59.8666666","15.25","289.0","KLOTEN, SW","  22.6","24","  21.3","24","1033.7","24","997.5","24","  4.7","24","  7.0","24","  7.8","999.9","  25.0"," ","  20.7"," "," 0.01","G","999.9","001000"
"02431099999","2010-01-21","59.8666666","15.25","289.0","KLOTEN, SW","  22.7","24","  21.3","24","1038.0","24","001.7","24"," 20.9","24","  5.5","24","  7.8","999.9","  23.9"," ","  21.0"," "," 0.04","G","999.9","001000"
"02431099999","2010-01-22","59.8666666","15.25","289.0","KLOTEN, SW","  21.3","24","  20.3","24","1039.1","24","002.8","24","  9.7","23","  4.6","24","  7.8","999.9","  22.8","*","  19.9"," "," 0.00","G","999.9","001000"
"02431099999","2010-01-23","59.8666666","15.25","289.0","KLOTEN, SW","  21.7","24","  20.6","24","1039.4","24","003.0","24","  8.0","24","  2.8","24","  3.9","999.9","  23.5"," ","  17.8","*"," 0.00","G","999.9","000000"
"02431099999","2010-01-24","59.8666666","15.25","289.0","KLOTEN, SW","  17.8","24","  15.5","24","1039.5","24","002.9","24","  8.3","24","  1.9","24","  3.9","999.9","  21.2"," ","  15.4"," "," 0.00","G","999.9","001000"
"02431099999","2010-01-25","59.8666666","15.25","289.0","KLOTEN, SW","  14.7","24","  13.0","24","1039.2","24","002.6","24"," 11.3","24","  2.3","24","  5.8","999.9","  17.2"," ","   8.2"," "," 0.00","G","999.9","000000"
"02431099999","2010-01-26","59.8666666","15.25","289.0","KLOTEN, SW","  13.5","23","  11.9","23","1040.2","23","003.4","23","  3.9","16","  1.2","23","  1.9","999.9","  16.0"," ","  10.4"," "," 0.00","G","999.9","101000"
"02431099999","2010-01-27","59.8666666","15.25","289.0","KLOTEN, SW","  18.7","24","  17.5","24","1005.8","24","970.5","24","  1.5","16","  1.9","24","  3.9","999.9","  25.0","*","  11.7"," "," 0.00","G","999.9","001000"
"02431099999","2010-01-28","59.8666666","15.25","289.0","KLOTEN, SW","  20.2","24","  18.9","24"," 987.2","24","952.5","24","  6.5","22","  2.8","24","  3.9","999.9","  25.3"," ","   9.9","*"," 0.44","G","999.9","001000"
"02431099999","2010-01-29","59.8666666","15.25","289.0","KLOTEN, SW","   7.9","24","   5.2","24"," 990.3","24","955.2","24","  6.3","22","  1.7","24","  3.9","999.9","  17.2"," ","   3.9","*"," 0.04","G","999.9","001000"
"02431099999","2010-01-30","59.8666666","15.25","289.0","KLOTEN, SW","   2.5","24","  -1.0","24"," 992.9","24","957.4","24"," 13.0","23","  2.5","24","  3.9","999.9","   5.9"," ","  -0.6"," "," 0.01","G","999.9","001000"
"02431099999","2010-01-31","59.8666666","15.25","289.0","KLOTEN, SW","   2.3","24","  -1.1","24"," 998.5","24","962.8","24"," 11.1","24","  1.4","24","  1.9","999.9","   6.4"," ","  -2.9"," "," 0.01","G","999.9","001000"
"02431099999","2010-02-01","59.8666666","15.25","289.0","KLOTEN, SW","  18.4","24","  17.1","24","1002.4","24","967.1","24","  2.0","24","  3.9","24","  5.8","999.9","  26.8"," ","  -2.9"," "," 0.04","G","999.9","101000"
"02431099999","2010-02-02","59.8666666","15.25","289.0","KLOTEN, SW","  20.6","24","  19.5","24","1000.6","24","965.5","24","  5.1","19","  4.0","24","  7.8","999.9","  26.6"," ","  19.0","*"," 0.07","G","999.9","001000"
"02431099999","2010-02-03","59.8666666","15.25","289.0","KLOTEN, SW","  24.3","24","  22.9","24"," 999.7","24","964.8","24","  2.2","16","  8.9","24"," 11.7","999.9","  26.1","*","  19.0"," "," 0.02","G","999.9","001000"
"02431099999","2010-02-04","59.8666666","15.25","289.0","KLOTEN, SW","  26.6","23","  25.5","23","1013.1","23","977.9","23","  8.0","23","  4.0","23","  9.7","999.9","  28.0"," ","  23.2","*"," 0.19","G","999.9","001000"
"02431099999","2010-02-05","59.8666666","15.25","289.0","KLOTEN, SW","  23.2","24","  22.6","24","1024.4","24","988.6","24","  2.8","24","  2.9","24","  3.9","999.9","  26.2"," ","  20.7"," "," 0.02","G","999.9","100000"
"02431099999","2010-02-06","59.8666666","15.25","289.0","KLOTEN, SW","  23.0","24","  22.1","24","1026.5","24","990.7","24","  6.1","24","  2.2","24","  3.9","999.9","  25.7"," ","  16.0","*"," 0.00","G","999.9","000000"
"02431099999","2010-02-07","59.8666666","15.25","289.0","KLOTEN, SW","  17.3","24","  15.5","24","1024.4","24","988.3","24"," 28.6","24","  2.0","24","  3.9","999.9","  29.8"," ","   4.6"," "," 0.00","G","999.9","000000"
"02431099999","2010-02-08","59.8666666","15.25","289.0","KLOTEN, SW","  14.1","24","  12.0","24","1013.4","24","977.6","24"," 29.0","24","  2.0","24","  3.9","999.9","  24.3"," ","   3.0","*"," 0.00","G","999.9","001000"
"02431099999","2010-02-09","59.8666666","15.25","289.0","KLOTEN, SW","  19.5","24","  17.8","24","1012.0","24","976.5","24","  8.9","23","  2.6","24","  5.8","999.9","  23.9"," ","   3.0"," "," 0.07","G","999.9","001000"
"02431099999","2010-02-10","59.8666666","15.25","289.0","KLOTEN, SW","  17.7","24","  15.8","24","1020.8","24","984.9","24"," 15.0","22","  4.2","24","  5.8","999.9","  21.7"," ","  14.5"," "," 0.08","G","999.9","001000"
"02431099999","2010-02-11","59.8666666","15.25","289.0","KLOTEN, SW","  15.0","24","  13.3","24","1020.5","24","984.5","24"," 21.3","24","  4.8","24","  7.8","999.9","  18.3","*","   9.3","*"," 0.00","G","999.9","001000"
"02431099999","2010-02-12","59.8666666","15.25","289.0","KLOTEN, SW","  19.1","23","  16.8","23","1026.3","23","990.2","23"," 30.4","23","  5.2","23","  7.8","999.9","  22.5"," ","   8.2"," "," 0.00","F","999.9","000000"
"02431099999","2010-02-13","59.8666666","15.25","289.0","KLOTEN, SW","  13.3","24","  11.1","24","1021.4","24","985.3","24"," 28.5","23","  3.1","24","  5.8","999.9","  18.3"," ","   9.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-02-14","59.8666666","15.25","289.0","KLOTEN, SW","  22.7","24","  19.9","24","1018.1","24","982.5","24"," 29.0","24","  2.3","24","  5.8","999.9","  30.9"," ","   8.4","*"," 0.00","G","999.9","100000"
"02431099999","2010-02-15","59.8666666","15.25","289.0","KLOTEN, SW","  14.3","24","  10.9","24","1012.7","24","977.0","24"," 26.8","24","  1.1","24","  3.9","999.9","  31.5"," ","   0.1"," "," 0.00","G","999.9","000000"
"02431099999","2010-02-16","59.8666666","15.25","289.0","KLOTEN, SW","  18.6","24","  17.1","24","1010.5","24","975.0","24"," 20.8","23","  1.7","24","  3.9","999.9","  23.2"," ","  10.9"," "," 0.00","G","999.9","001000"
"02431099999","2010-02-17","59.8666666","15.25","289.0","KLOTEN, SW","  21.0","24","  19.7","24","1009.9","24","974.5","24"," 12.3","23","  3.6","24","  7.8","999.9","  23.9"," ","  18.5","*"," 0.02","G","999.9","001000"
"02431099999","2010-02-18","59.8666666","15.25","289.0","KLOTEN, SW","  14.6","24","  12.1","24","1007.9","24","972.4","24","  5.4","24","  6.0","24","  9.7","999.9","  20.8"," ","  12.9","*"," 0.03","G","999.9","001000"
"02431099999","2010-02-19","59.8666666","15.25","289.0","KLOTEN, SW","  11.7","23","   8.6","23","1003.0","23","967.5","23","  1.4","23","  7.4","23"," 11.7","999.9","  13.8"," ","  10.0"," "," 0.17","G","999.9","001000"
"02431099999","2010-02-20","59.8666666","15.25","289.0","KLOTEN, SW","   6.5","24","   2.7","24","1000.9","24","965.3","24","  1.1","24","  8.7","24"," 11.7","999.9","  12.0"," ","   5.0"," "," 0.08","G","999.9","001000"
"02431099999","2010-02-21","59.8666666","15.25","289.0","KLOTEN, SW","   0.0","24","  -4.7","24"," 998.5","24","962.7","24"," 14.9","21","  5.1","24","  7.8","999.9","   6.4"," "," -15.0","*"," 0.25","G","999.9","001000"
"02431099999","2010-02-22","59.8666666","15.25","289.0","KLOTEN, SW","  -4.0","24","  -8.3","24"," 999.8","24","963.9","24"," 14.1","24","  1.6","24","  3.9","999.9","   5.9"," "," -20.2"," "," 0.02","G","999.9","001000"
"02431099999","2010-02-23","59.8666666","15.25","289.0","KLOTEN, SW","   9.1","24","   6.3","24"," 996.8","24","961.5","24","  7.4","24","  2.7","24","  3.9","999.9","  15.6"," ","   2.1"," "," 0.02","G","999.9","001000"
"02431099999","2010-02-24","59.8666666","15.25","289.0","KLOTEN, SW","  13.4","24","   8.6","24","1005.8","24","970.3","24"," 19.7","24","  3.1","24","  5.8","999.9","  24.8"," ","   1.8"," "," 0.03","G","999.9","001000"
"02431099999","2010-02-25","59.8666666","15.25","289.0","KLOTEN, SW","  17.6","24","  15.6","24","1006.7","24","971.3","24"," 17.9","24","  4.5","24","  9.7","999.9","  25.2"," ","   2.3"," "," 0.00","G","999.9","001000"
"02431099999","2010-02-26","59.8666666","15.25","289.0","KLOTEN, SW","  29.5","24","  29.3","24"," 996.8","24","962.2","24","  1.0","24","  4.8","24","  7.8","999.9","  31.8"," ","  23.9"," "," 0.30","G","999.9","101000"
"02431099999","2010-02-27","59.8666666","15.25","289.0","KLOTEN, SW","  29.7","24","  29.7","24"," 995.4","24","960.9","24","  0.6","24","  4.9","24","  7.8","999.9","  31.6"," ","  25.2","*"," 0.11","G","999.9","101000"
"02431099999","2010-02-28","59.8666666","15.25","289.0","KLOTEN, SW","  25.1","24","  24.6","24"," 994.2","24","959.5","24","  6.5","24","  2.5","24","  3.9","999.9","  30.4"," ","  23.4"," "," 0.30","G","999.9","001000"
"02431099999","2010-03-01","59.8666666","15.25","289.0","KLOTEN, SW","  21.5","24","  19.9","24"," 992.0","24","957.3","24","  5.0","24","  6.8","24","  9.7","999.9","  25.7"," ","  17.8","*"," 0.13","G","999.9","001000"
"02431099999","2010-03-02","59.8666666","15.25","289.0","KLOTEN, SW","  18.9","24","  14.3","24","1001.6","24","966.5","24"," 27.2","24","  5.3","24","  7.8","999.9","  26.1"," ","  11.3"," "," 0.09","G","999.9","001000"
"02431099999","2010-03-03","59.8666666","15.25","289.0","KLOTEN, SW","  19.4","22","  10.8","22","1009.5","22","974.1","22"," 27.1","21","  6.4","22","  9.7","999.9","  24.8"," ","  13.3"," "," 0.00","G","999.9","001000"
"02431099999","2010-03-04","59.8666666","15.25","289.0","KLOTEN, SW","  18.2","24","   7.2","24","1016.2","24","980.5","24"," 29.5","24","  6.7","24","  7.8","999.9","  24.6"," ","  14.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-05","59.8666666","15.25","289.0","KLOTEN, SW","  17.1","24","   2.7","24","1020.4","24","984.5","24"," 29.1","24","  2.9","24","  5.8","999.9","  30.4"," ","   5.7","*"," 0.00","G","999.9","000000"
"02431099999","2010-03-06","59.8666666","15.25","289.0","KLOTEN, SW","  20.8","24","  10.0","24","1025.2","24","989.3","24"," 29.0","24","  3.2","24","  5.8","999.9","  36.0"," ","   1.9"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-07","59.8666666","15.25","289.0","KLOTEN, SW","  20.6","24","  10.8","24","1028.3","24","992.3","24"," 30.4","24","  2.0","24","  3.9","999.9","  34.3"," ","   0.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-08","59.8666666","15.25","289.0","KLOTEN, SW","  31.1","24","  21.1","24","1023.9","24","988.4","24"," 28.5","24","  4.9","24","  7.8","999.9","  41.7"," ","  15.3"," "," 0.00","G","999.9","001000"
"02431099999","2010-03-09","59.8666666","15.25","289.0","KLOTEN, SW","  28.9","24","  15.3","24","1025.8","24","990.1","24"," 28.7","24","  4.9","24","  7.8","999.9","  36.9"," ","  21.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-10","59.8666666","15.25","289.0","KLOTEN, SW","  29.8","24","  22.0","24","1021.3","24","985.9","24"," 23.7","24","  6.1","24","  7.8","999.9","  40.1"," ","  22.3"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-11","59.8666666","15.25","289.0","KLOTEN, SW","  27.8","24","  26.8","24","1010.7","24","975.6","24","  9.1","24","  5.6","24","  7.8","999.9","  32.9"," ","  23.9"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-12","59.8666666","15.25","289.0","KLOTEN, SW","  29.7","24","  15.6","24","1007.9","24","973.0","24"," 26.3","24","  4.3","24","  7.8","999.9","  35.1"," ","  25.3","*"," 0.00","G","999.9","001000"
"02431099999","2010-03-13","59.8666666","15.25","289.0","KLOTEN, SW","  28.7","24","  13.3","24","1003.8","24","968.9","24"," 29.8","24","  5.4","24","  9.7","999.9","  36.3"," ","  21.0"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-14","59.8666666","15.25","289.0","KLOTEN, SW","  25.7","24","   9.1","24","1003.7","24","968.7","24"," 29.1","24","  5.3","24","  7.8","999.9","  33.1"," ","  20.3"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-15","59.8666666","15.25","289.0","KLOTEN, SW","  24.4","24","  10.1","24","1006.3","24","971.2","24"," 29.1","24","  4.4","24","  5.8","999.9","  33.3"," ","  14.4","*"," 0.00","G","999.9","000000"
"02431099999","2010-03-16","59.8666666","15.25","289.0","KLOTEN, SW","  24.7","24","  12.4","24","1011.3","24","976.0","24"," 27.8","24","  4.2","24","  7.8","999.9","  34.7"," ","  13.8"," "," 0.00","G","999.9","000000"
"02431099999","2010-03-17","59.8666666","15.25","289.0","KLOTEN, SW","  31.1","24","  20.5","24","1011.7","24","976.7","24"," 22.7","24","  3.3","24","  5.8","999.9","  39.6"," ","  15.3"," "," 0.00","G","999.9","001000"
"02431099999","2010-03-18","59.8666666","15.25","289.0","KLOTEN, SW","  33.9","24","  33.4","24","1007.8","24","973.0","24","  5.2","24","  6.6","24"," 11.7","999.9","  36.9"," ","  28.6"," "," 0.02","G","999.9","101000"
"02431099999","2010-03-19","59.8666666","15.25","289.0","KLOTEN, SW","  36.4","24","  36.1","24","1000.8","24","966.3","24","  2.4","24","  6.3","24"," 11.7","999.9","  39.2"," ","  34.7"," "," 0.00","G","999.9","110000"
"02431099999","2010-03-20","59.8666666","15.25","289.0","KLOTEN, SW","  40.0","23","  32.9","23"," 994.0","23","960.0","23"," 14.7","23","  8.1","23"," 13.6","999.9","  48.9"," ","  34.5","*"," 0.00","G","999.9","000000"
"02431099999","2010-03-21","59.8666666","15.25","289.0","KLOTEN, SW","  26.5","24","  24.7","24","1002.1","24","967.2","24"," 12.9","24","  5.7","24"," 11.7","999.9","  38.3"," ","  16.5","*"," 0.00","G","999.9","001000"
"02431099999","2010-03-22","59.8666666","15.25","289.0","KLOTEN, SW","  25.8","24","  19.6","24","1016.1","24","980.7","24"," 27.5","24","  2.8","24","  5.8","999.9","  36.5"," ","   6.3"," "," 0.41","G","999.9","000000"
"02431099999","2010-03-23","59.8666666","15.25","289.0","KLOTEN, SW","  30.2","24","  29.9","24","1009.0","24","974.0","24","  3.0","24","  3.1","24","  3.9","999.9","  32.5"," ","  28.0"," "," 0.08","G","999.9","001000"
"02431099999","2010-03-24","59.8666666","15.25","289.0","KLOTEN, SW","  29.3","24","  28.7","24","1017.9","24","982.6","24"," 14.9","24","  1.9","24","  3.9","999.9","  31.6"," ","  25.5"," "," 0.30","G","999.9","100000"
"02431099999","2010-03-25","59.8666666","15.25","289.0","KLOTEN, SW","  30.6","24","  30.6","24","1017.5","24","982.2","24","  0.2","24","  4.3","24","  5.8","999.9","  32.0"," ","  28.4"," "," 0.00","G","999.9","100000"
"02431099999","2010-03-26","59.8666666","15.25","289.0","KLOTEN, SW","  32.4","24","  32.4","24","1006.9","24","972.1","24","  0.5","24","  2.0","24","  3.9","999.9","  36.5"," ","  29.8"," "," 0.00","G","999.9","110000"
"02431099999","2010-03-27","59.8666666","15.25","289.0","KLOTEN, SW","  32.3","24","  32.3","24"," 997.1","24","962.6","24","  1.7","24","  3.8","24","  7.8","999.9","  34.5"," ","  30.6"," "," 0.00","G","999.9","111000"
"02431099999","2010-03-28","59.8666666","15.25","289.0","KLOTEN, SW","  33.4","24","  32.4","24"," 994.8","24","960.4","24"," 15.0","24","  3.0","24","  5.8","999.9","  36.1"," ","  31.5"," "," 0.39","G","999.9","101000"
"02431099999","2010-03-29","59.8666666","15.25","289.0","KLOTEN, SW","  33.6","24","  33.4","24"," 997.6","24","963.2","24","  4.1","24","  2.9","24","  5.8","999.9","  36.7"," ","  31.8"," "," 0.06","G","999.9","111000"
"02431099999","2010-03-30","59.8666666","15.25","289.0","KLOTEN, SW","  33.4","24","  29.1","24","1004.2","24","969.5","24"," 23.4","24","  4.0","24","  5.8","999.9","  39.6"," ","  30.0","*"," 0.07","G","999.9","000000"
"02431099999","2010-03-31","59.8666666","15.25","289.0","KLOTEN, SW","  31.6","24","  31.1","24","1003.8","24","969.1","24","  5.7","24","  5.7","24","  7.8","999.9","  35.4"," ","  27.5"," "," 0.00","G","999.9","110000"
